INCHI,SMILES,IC50,pIC50
DFNFUUKHJCBGNQ-UHFFFAOYSA-N,O=C1CSC(N2N=C(c3ccc(F)cc3)CC2c2ccc(Cl)cc2)=N1,13160,4.880744111
IZRQFKYNXNFFQT-DHZHZOJOSA-N,CCOc1cc2ncnc(Nc3ccc4c(ccn4S(=O)(=O)c4ccccc4)c3)c2cc1NC(=O)/C=C/CN1CCCC1,30,7.522878745
LVNYQEFSHJDOCT-UHFFFAOYSA-N,FC(F)(F)c1ccccc1Oc1ccc(Nc2ncnc3cc[nH]c23)cc1Cl,120,6.920818754
LGGXKYNJQDCCPN-UHFFFAOYSA-N,Clc1ccc(C2=NN(c3ccccc3)C(c3cccc4ccccc34)C2)cc1Cl,1980,5.70333481
RCXKACUHTAVIBD-ZQAUEJBPSA-N,CCOc1cc2ncnc(Nc3ccc(Oc4cc5nncn5cn4)c(C)c3)c2cc1NC(=O)/C=C/[C@H]1CCCN1C,1.67,8.777283529
LDTIBFBFKXJPSC-UHFFFAOYSA-N,COCC(=O)NCC#Cc1ccc2ncnc(Nc3ccc(Oc4cccc(C(=O)NC(C)(C)C)c4)c(C)c3)c2c1,18,7.744727495
IKXDZCIRCQRTQF-UHFFFAOYSA-N,O=C1Cc2ccc(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)cc2N1,130,6.886056648
WRQKYTMPGPMLPI-UHFFFAOYSA-N,Brc1ccc(C2=NN(c3ccccc3)C(c3cccc4ccccc34)C2)cc1,2320,5.634512015
RGKMUWLBUIKZDZ-UHFFFAOYSA-N,C=CC(=O)Nc1cccc(-c2c(-c3ccc(N4CCN(C)CC4)cc3)[nH]c3ncnc(OCC)c23)c1,14,7.853871964
LOWIJALPIWAMBK-UHFFFAOYSA-N,CCCN(CCS(C)(=O)=O)Cc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,20,7.698970004
JGUKCUUOQNQOBB-UHFFFAOYSA-N,CS(=O)(=O)CCN(CC#N)Cc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,22,7.657577319
CDHCIFPMFKCLCH-UHFFFAOYSA-N,C=CC(=O)Nc1cccc(-c2c(-c3ccc(N4CCN(C)CC4)cc3)[nH]c3ncn(C(C)C)c(=O)c23)c1,592,6.227678293
OCSMJDYMUQMQHV-KGVSQERTSA-N,Fc1ccc(-c2ccc3c(ccn3Cc3coc(/C=C/c4ccc(C(F)(F)F)cc4)n3)c2)cc1,5260,5.279014256
DOFNHGGYAVHZBW-UHFFFAOYSA-N,O=C(Nc1ccccc1)N(Cc1ccc(F)cc1)Cc1cccc(Br)c1O,5170,5.286509457
SCPDXSGJBNCTBA-UHFFFAOYSA-N,Cc1cc(Nc2ncnc3cnc(N4CCCC4)cc23)ccc1Oc1ccc(C(=O)NCC(C)(C)C)cc1,36,7.443697499
JEXCBQDTESMXHL-RMKNXTFCSA-N,CCOc1cc2ncnc(Nc3ccc(NS(=O)(=O)c4ccccc4)cc3)c2cc1NC(=O)/C=C/CN1CCOCC1,174,6.759450752
BQKAPRHCWWQTIM-PHZXFRFISA-N,CCOc1cc2ncnc(Nc3ccc(Oc4cc5nncn5cn4)c(C)c3)c2cc1NC(=O)/C(F)=C/[C@@H]1CCCN1C,3.38,8.4710833
GFRRUJXUMZJUGB-DHZHZOJOSA-N,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(C#N)c3)c2cc1NC(=O)/C=C/CN(C)C,1134,5.945386945
BXWNXYKEYCNVLR-UHFFFAOYSA-N,CCC(=O)Nc1cc2c(Nc3ccc4c(c3)CCN4Cc3ccccc3)ncnc2cc1OC,556,6.254925208
QATSQOZRVCGSQI-UHFFFAOYSA-N,COc1ccc(C2=NN(C3=NC(=O)CS3)C(c3ccc(OC)cc3)C2)cc1,10480,4.979638717
YKQCCMOWWKAYOX-UHFFFAOYSA-N,OCc1nc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)cs1,160,6.795880017
DUYJMQONPNNFPI-UHFFFAOYSA-N,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,4.8,8.318758763
YLFINAUVWATNCS-UHFFFAOYSA-N,CCC(=O)Nc1cc2c(Nc3ccc4c(ccn4Cc4ccccn4)c3)ncnc2cc1OC,642,6.192464972
MTTICWAYROVIKZ-UHFFFAOYSA-N,C=CC(=O)Nc1cccc(-c2c(-c3ccc(N4CCN(C)CC4)cc3)[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)c1,14,7.853871964
YIDKQMAIVFRLMJ-UHFFFAOYSA-N,Cc1ccc(C2CC(c3ccc(F)cc3)=NN2C2=NC(=O)CS2)cc1,10260,4.988852639
ISJKKYVTSUZZMA-UHFFFAOYSA-N,COCCOc1ccc2ncnc(Nc3ccc(OC4CCN(C(=O)CC(C)(C)C)CC4)c(C)c3)c2c1,120,6.920818754
FRHVWTKQTWRREX-RMKNXTFCSA-N,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCC(O)CC1,169,6.772113295
YBXSDKSXXVAXIS-DHZHZOJOSA-N,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4OC)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,44,7.356547324
JFBQFAKGLQJGIL-OWOJBTEDSA-N,O=C(/C=C/CN1CCOCC1)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1,35,7.455931956
RACDIYVVIGQFAY-UHFFFAOYSA-N,CC(=O)N1N=C(c2ccc(Br)cc2)CC1c1ccc(C(=O)OCCn2c([N+](=O)[O-])cnc2C)cc1,3450,5.462180905
HPHUGTTXFHEACH-UHFFFAOYSA-N,Fc1cccc(COc2ccc(Nc3ncncc3C#Cc3ncccn3)cc2Cl)c1,60,7.22184875
VSNMAFGMOIYXIQ-JXMROGBWSA-N,Fc1ccccc1NCc1coc(/C=C/c2ccc(C(F)(F)F)cc2)n1,5790,5.237321436
TZPIFYXBGQBABB-AATRIKPKSA-N,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccc(Cl)cc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,24,7.619788758
ADKLWTJYNHIZGI-UHFFFAOYSA-N,O=C1NCc2cccc(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)c21,2.5,8.602059991
DIOFAGBPNISMJA-UHFFFAOYSA-N,Cc1cc(Nc2ncnc3cnc(N(C)C)cc23)ccc1OC1CCN(C(=O)Nc2c(F)cccc2F)CC1,21,7.677780705
DSOCMEHEONDHCK-WUXMJOGZSA-N,Cc1ccc(/C=N/NC2=NC(=O)CS2)cc1,5830,5.234331445
UERCBPIXITWGQE-UHFFFAOYSA-N,Oc1c(Cl)cccc1CN(Cc1ccc(F)cc1)C(=S)Nc1ccccc1,1410,5.850780887
UYWHKGJSHFOELO-CPSHHHPTSA-N,Cc1cc(Nc2ncnc3cc(O)c(NC(=O)/C=C/[C@H]4CCCN4C)cc23)ccc1Oc1ccn2cnnc2c1,6.31,8.199970641
UWNCZMKPXVIIEH-UHFFFAOYSA-N,Oc1ccc(CN(Cc2cccc(Cl)c2O)C(=S)Nc2ccccc2)cc1,350,6.455931956
XWOBYUGXRJUXJF-UHFFFAOYSA-N,Cc1ccn2ncnc(Nc3ccc4c(cnn4Cc4ccccn4)c3)c12,310,6.508638306
RKUXMYUMMSWVGH-CPSHHHPTSA-N,Cc1cc(Nc2ncnc3cc(O)c(NC(=O)/C=C/[C@H]4CCCN4C)cc23)ccc1Oc1cc2nccn2cn1,1.06,8.974694135
MHPKGGGCCZJCKM-UHFFFAOYSA-N,COc1ccc(C2=NN(C3=NC(=O)CS3)C(c3ccccc3)C2)cc1,4120,5.385102784
RCOWTORYMLCNEG-UHFFFAOYSA-N,C=CC(=O)Nc1cc(-c2c[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)ccc1OCCO,1.9,8.721246399
QRJKAQZHNICDSB-UHFFFAOYSA-N,C=CC(=O)Nc1cccc(-c2c(-c3ccc(N4CCN(C)CC4)cc3)[nH]c3ncnc(OCC(C)C)c23)c1,26,7.585026652
LUMQTYWCMGSOLK-YIXHJXPBSA-N,COc1ccc(-c2ccc3c(ccn3Cc3coc(/C=C/c4ccc(C(F)(F)F)cc4)n3)c2)cc1,1110,5.954677021
XNTPRKQKIQHNAU-LFYBBSHMSA-N,O=C1CSC(N/N=C/c2cccc(F)c2)=N1,21750,4.662540739
HHAIRBJJFBLIDZ-UHFFFAOYSA-N,O=C(Nc1ccccc1)N(Cc1ccc(F)cc1)Cc1cc(Cl)cc(Cl)c1O,9640,5.015922966
UCBARNSJTRWXQT-RMKNXTFCSA-N,COCCOc1cc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c2cc1NC(=O)/C=C/CN1CCN(C)CC1,19,7.721246399
BCVLPPYKGAHAMX-DHZHZOJOSA-N,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(CC(C)O)CC(C)O,104,6.982966661
BYFAOQDSQYRKMW-UHFFFAOYSA-N,O=C(Cc1ccc(Br)cc1)NS(=O)(=O)c1ccc(Cl)cc1,18940,4.722620025
WXFJAWWXWDNJPZ-UHFFFAOYSA-N,CC(=O)N1N=C(c2ccc(C)cc2)CC1c1ccc(C(=O)OC(C)Cn2c([N+](=O)[O-])cnc2C)cc1,18890,4.723768042
BUPWPQSTALKSKT-UUILKARUSA-N,O=C1CSC(N/N=C/c2cc(Br)ccc2O)=N1,420,6.37675071
AHONPWLSTJWLMC-UHFFFAOYSA-N,CCC(=O)Nc1cc2c(Nc3ccc(OCc4ccccn4)cc3)ncnc2cc1OC,815,6.088842391
NWZQTNDYDHXMOE-DHZHZOJOSA-N,CCOc1cc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c2cc1NC(=O)/C=C/CN(C)C,12,7.920818754
JXCTYPYGAYAMDH-IZZDOVSWSA-N,FC(F)(F)c1ccc(/C=C/c2nc(Cn3ccc4cc(-c5cccc(Cl)c5)ccc43)co2)cc1,2250,5.647817482
XFZZOYBVFSUOKN-UHFFFAOYSA-N,Cc1cc(Nc2ncnc3cnc(N(C)C)cc23)ccc1OC1CCN(C(=O)CC(C)(C)C)CC1,51,7.292429824
IGJWJUSLCTWOTR-UHFFFAOYSA-N,CC(=O)N1N=C(c2ccc(C(F)(F)F)cc2)CC1c1ccc(C(=O)OCCn2c([N+](=O)[O-])cnc2C)cc1,510,6.292429824
CJGPKVRBUPRPTR-UHFFFAOYSA-N,COc1cc(Nc2ncnc3ccc(-c4ccc(CNCCS(C)(=O)=O)o4)cc23)ccc1OCc1cccc(F)c1,90,7.045757491
SCPXIXAJVMGIOW-UHFFFAOYSA-N,C=CC(=O)Nc1cccc(-c2c(-c3ccc(N4CCN(C)CC4)cc3)[nH]c3ncn(C)c(=O)c23)c1,146,6.835647144
PDHPVHXAEDIWBQ-UHFFFAOYSA-N,O=C1NCc2cc(Oc3ccc(Nc4ncnc5ccn(CCO)c45)cc3Cl)ccc21,18,7.744727495
